"id,age,income,health,smoke,exercise,treatment,outcome"
"0,46.38716086415889,56600.06694414001,48.094748103799624,0,2.523024140045941,1,77.93716231456796"
"1,44.64280213996318,69737.21581605631,52.91374456238584,0,3.6868469770637193,1,82.19831994734504"
"2,48.85901448447307,53201.107110794364,53.27075218053307,1,3.6957457924726427,0,73.23372309002897"
"3,46.39809662971045,85776.5942340407,51.546485432366254,0,3.191442047344609,1,92.83965427018829"
"4,49.55639612900535,40654.85853058416,54.945224920487725,0,3.006924721043714,1,71.16700072888361"
"5,41.26239366120958,78806.02179329602,38.694795439670386,0,2.0765707942786076,0,80.68242988463636"
"6,45.703307008461515,48527.261575378456,51.9737260543966,0,0.7183379275794226,0,63.17999348612935"
"7,30.266057207316095,33060.25898123965,51.13757683480277,0,1.8881492933359711,0,56.120876896072865"
"8,41.161112663965035,63568.12734523301,52.31672684195061,0,2.6096958508883006,1,81.87453830970807"
"9,61.69000257811972,56180.88020979174,50.723452173191816,1,4.097422687422707,1,84.23659226999793"
"10,48.82570007553907,43355.859481454536,37.26787226086603,0,2.8968719376486245,1,76.49164959714172"
"11,44.74894755140308,34779.34662427104,36.822002478910264,1,2.4809742810818514,0,58.55516691845005"
"12,67.75347931505216,59874.588190928145,27.857318141154487,0,2.1090145580465696,1,86.64795089151076"
"13,28.66998026038705,74637.55337435726,58.17534509845298,0,3.6568058285094804,1,84.53549328319092"
"14,31.68653333464536,68774.30239629667,58.27657509735199,0,4.358357166430605,1,80.8901375820841"
"15,65.55253693531527,60850.599732588984,58.4355029122212,0,4.063435721867459,1,76.80613392022433"
"16,45.55153123258721,67182.71359826603,53.06789962461452,0,3.606149699758469,0,79.22905072736701"
"17,42.08900356452247,59591.788014332145,28.66880782281889,0,1.52438725361706,1,79.32707574604879"
"18,30.60954809885228,38554.13635454443,39.73289508214734,1,2.6483257571562286,0,61.655631749980564"
"19,50.372355196740145,38686.59022164835,51.70415417593112,1,4.947304228889675,1,79.69872956994267"
"20,51.53351843432955,56952.47206522982,51.35518002791795,0,4.121950491915225,1,78.84486990506798"
"21,31.866067669981245,57590.20070450888,47.77251786847979,0,1.462496781765275,0,60.52068823184325"
"22,43.31669297339486,72764.74017760147,53.68917202908247,1,2.9444094768007285,0,76.14199646089675"
"23,40.973810015603206,71359.5633566212,50.11651707685245,0,3.363098432661039,1,86.8714928507391"
"24,48.071725757025256,69076.99523638425,51.207704655513616,1,2.23784153697378,0,72.91399856903338"
"25,31.568997093352273,55795.75930384229,43.60934667167984,1,0.6907959785911513,0,73.3965281041259"
"26,60.02336945415789,39290.2174483479,59.820109861215904,0,3.098824045016432,1,61.76665032216132"
"27,55.989885379171255,66181.06705599037,45.69228391319616,0,2.2122417423795606,1,89.44149194371583"
"28,40.6418932952062,67877.53969893252,36.693509169793735,0,2.216158260915316,1,86.943900069647"
"29,42.40297546033955,24172.02806283471,42.290009871812714,1,2.645319640069242,0,58.309218371725535"
"30,43.362934196668604,47484.927201260056,46.5153380863802,0,2.8663240853451883,0,48.94381582110155"
"31,35.660297363921956,49634.18433909156,59.940027883688465,1,2.9909172059043136,1,82.23188115310361"
