"id,age,income,health,smoke,exercise,treatment,outcome,ps,ps_logit,matched_group"
"0.0,0.4530130358386489,0.7765428420025354,-1.8357494911249275,1.529953345140743,-0.8778287411878066,1.0,89.79301371156006,0.7182809187453,0.9359503355918595,0"
"1272.0,-1.1663152887611268,-0.19502479769746514,-1.2948352546838517,-0.6536147021581291,-1.3753146210726535,0.0,66.97540482021131,0.7198034427427992,0.9434868314556356,0"
"2.0,0.6068663754792069,-0.8474847593062896,-0.3641803234957964,-0.6536147021581291,-0.9318027975645138,1.0,78.80571413649473,0.7712481205498942,1.2153722180311188,1"
"872.0,-1.458794723980677,0.1475618570101459,-1.0375860723290193,-0.6536147021581291,0.4279571065487185,0.0,73.20478999450457,0.7713990096837113,1.2162276785388402,1"
"3.0,1.4988997165466376,-0.01864187738673978,1.9022549039852366,-0.6536147021581291,0.0894786242635785,1.0,84.66025788933798,0.9194852306406046,2.435373343635354,2"
"762.0,2.555730159006209,1.2418335520597352,-0.7575392688682299,-0.6536147021581291,-1.2962712039862732,0.0,83.13485044829756,0.9223649061400593,2.474921356559792,2"
"5.0,-0.29177479012791924,-0.4762348700157928,-1.2720925925709337,-0.6536147021581291,-1.4034553887558172,1.0,77.8846524401874,0.7250899590512462,0.9698518082800143,3"
"1208.0,-1.4825248130367856,-0.37266942450288126,-0.8007127499868367,-0.6536147021581291,-0.5700056051381459,0.0,64.15469892331765,0.7249850673238608,0.9693256610150321,3"
"6.0,1.5561540374250062,0.6931589172054795,0.5218345170222868,1.529953345140743,1.2584862857665635,1.0,86.0473827046956,0.861341095637622,1.8264735962865681,4"
"927.0,0.3312319499553624,-0.07847033269267967,0.49863860671134796,-0.6536147021581291,0.22501171015046503,0.0,72.81224736262008,0.8615643011443441,1.828343742140233,4"
"7.0,0.7288960256857834,0.9565311682709197,-1.4807065128742682,-0.6536147021581291,-0.4387085262407299,1.0,82.5758397019955,0.8644421669358979,1.8526860436402586,5"
"188.0,-0.9161144004247705,0.2729522664383703,0.9225884684362003,-0.6536147021581291,-0.5895550856590553,0.0,73.69571140783368,0.8634625856397512,1.8443518929714888,5"
"8.0,-0.5315999059608392,0.07471849693765087,1.1094516803921841,1.529953345140743,-1.1847230861476798,1.0,81.10060990169745,0.7640118366255161,1.1748016334369094,6"
"368.0,0.04636566127684731,-1.124945071443269,0.437575524460927,-0.6536147021581291,-1.2591611479841693,0.0,64.8595453677563,0.7635726794246004,1.1723674644395912,6"
"9.0,0.49973316898930575,1.4877405362069496,-0.42082819292425483,-0.6536147021581291,-0.1197486597489967,1.0,78.07812515716927,0.9143300245378777,2.367689163903709,7"
